disease_id	name	description
DOID:0050043	Israeli tick typhus	A spotted fever that has_material_basis_in Rickettsia conorii subsp israelensis, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.
DOID:0050046	Far Eastern spotted fever	A spotted fever that has_material_basis_in Rickettsia heilongjiangensis, which is transmitted_by ticks (Haemaphysalis concinna). The infection has_symptom fever, has_symptom eschar, has_symptom maculopapular rash, and has_symptom regional adenopathy.
DOID:0050047	Flinders Island spotted fever	A spotted fever that has_material_basis_in Rickettsia honei, which is transmitted_by cayenne ticks (Amblyomma cajennense). The infection has_symptom mild spotted fever, has_symptom eschar and has_symptom adenopathy.
DOID:0050050	Japanese spotted fever	A spotted fever that has_material_basis_in Rickettsia japonica, which is transmitted_by ticks (Dermacentor taiwanensis and Haemaphysalis flava). The infection has_symptom fever, has_symptom eschars, has_symptom regional adenopathy, and has_symptom rash on extremities.
DOID:0050051	Rickettsia parkeri spotted fever	A spotted fever that has_material_basis_in Rickettsia parkeri, which is transmitted_by Gulf Coast tick (Amblyomma maculatum). The infection has_symptom fever, has_symptom headache, has_symptom eschar, and has_symptom rash.
DOID:0050052	Rocky Mountain spotted fever	A spotted fever that has_material_basis_in Rickettsia rickettsii, which is transmitted_by ticks (Dermacentor variabilis and Dermacentor andersoni). The infection has_symptom fever, has_symptom headache, has_symptom abdominal pain, and has_symptom maculopapular rash progressing into papular or petechial rash.
DOID:0050059	oropharyngeal anthrax	A gastrointestinal anthrax that results_in infection located_in mucosa of oropharynx, has_material_basis_in Bacillus anthracis, which is transmitted_by ingestion of anthrax-infected meat. The infection has_symptom lesions, has_symptom vomiting of blood, has_symptom severe diarrhea, has_symptom loss of appetite.
DOID:0050061	erysipeloid	A primary bacterial infectious disease that results_in infection located_in skin, has_material_basis_in Erysipelothrix rhusiopathiae, which is transmitted_by contact with infected animals. The infection has_symptom redness of skin, has_symptom tenderness of skin and has_symptom warmth of skin.
DOID:0050068	pestis minor	A bubonic plague that results_in a benign form of bubonic plague, has_symptom fever, has_symptom lymphadenitis, has_symptom headache and has_symptom prostration.
DOID:0050072	adiaspiromycosis	A primary systemic mycosis that is a fungal infection located_in lungs, or located_in skin, which results_in disseminated granulomatous pulmonary process and cutaneous infection in rodents, small wild mammals and humans, has_material_basis_in Chrysosporium parvum or Emmonsia crescens.
DOID:0050073	invasive aspergillosis	An aspergillosis that is a serious fungal infection of the lung with pneumonia caused by Aspergillus, which spreads to other parts of the body through bloodstream in patients with acute leukemia and recipients of tissue transplants. Clinical symptoms include pulmonary nodules and hemorrhage.
DOID:0050083	Keshan disease	
DOID:0050096	tinea barbae	A dermatophytosis that results_in fungal infection which effects horny layer of epidermis of the bearded areas located_in face or located_in neck, has_material_basis_in Trichophyton mentagrophytes or has_material_basis_in Trichophyton verrucosum, which also effects hair, and effects nail and has_symptom inflammatory kerion-like plaques, and results_in_formation_of noninflammatory superficial perifollicular pustules.
DOID:0050097	ectothrix infectious disease	A tinea capitis that results_in fungal infection located_in cuticle of hair, has_material_basis_in Microsporum canis, has_material_basis_in Microsporum gypseum, has_material_basis_in Trichophyton equinum, and has_material_basis_in Trichophyton verrucosum, which produce arthroconidia on the exterior of the hair shaft.
DOID:0050105	endothrix infectious disease	A tinea capitis that results_in fungal infection located_in hair, has_material_basis_in Ascomycota fungi that belong to a group called dermatophytes, which produce arthroconidia within the hair shaft only.
DOID:0050116	tinea imbricata	A tinea corporis that results_in fungal infection located_in skin, has_material_basis_in Trichophyton concentricum, which is characterized by ring-like growth in overlapping circles that may have an autosomal dominant genetic predisposition.
DOID:0050117	disease by infectious agent	A disease that is the consequence of the presence of pathogenic microbial agents, including pathogenic viruses, pathogenic bacteria, fungi, protozoa, multicellular parasites, and aberrant proteins known as prions.
DOID:0050118	La Crosse encephalitis	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in La Crosse virus, which is transmitted_by treehole mosquito, Ochlerotatus triseriatus. The infection has_symptom seizures, has_symptom headache, has_symptom fever, has_symptom coma, and has_symptom paralysis.
DOID:0050120	hemophagocytic lymphohistiocytosis	A lymphatic system disease that is characterized by an expansion of the monocyte-macrophage population and intense hemophagocytosis. It can occur de novo, but more often occurs in the setting of another disorder, usually an infection or a malignancy. A clinical picture of fever, hepatosplenomegaly, lymphadenopathy and peripheral pancytopenia. The morphologic hallmark of this syndrome is the phagocytosis of hematopoietic elements by morphologically normal macrophages.
DOID:0050125	dengue shock syndrome	A dengue disease that involves the most severe form of dengue fever, has_material_basis_in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted_by Aedes mosquito bite. The infection has_symptom easy bruising, has_symptom blood spots, has_symptom bleeding gums, and has_symptom nosebleeds. It is accompanied by circulatory collapse, involves hypotension, narrow pulse pressure (less than or equal to 20mm Hg), or frank shock. The shock occurs after two to six days of symptoms, followed by collapse, weak pulse, and blueness around the mouth.
DOID:0050127	sinusitis	A paranasal sinus disease involving inflammation of the paranasal sinuses resulting from bacterial, fungal, viral infection, allergic or autoimmune issues. Symptoms can include fever, weakness, fatigue, cough and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.
DOID:0050129	secretory diarrhea	Secretory diarrhea is a diarrhea where there is an increase in the active secretion, or there is an inhibition of absorption causing little to no structural damage. The most common cause of this type of diarrhea is a cholera toxin that stimulates the secretion of anions, especially chloride ions.
DOID:0050130	osmotic diarrhea	Osmotic diarrhea is a dirrhea where diarrhea occurs when too much water is drawn into the bowels. This can be the result of maldigestion (e.g., pancreatic disease or Coeliac disease), in which the nutrients are left in the lumen to pull in water. Osmotic diarrhea can also be caused by osmotic laxatives (which work to alleviate constipation by drawing water into the bowels). In healthy individuals, too much magnesium or vitamin C or undigested lactose can produce osmotic diarrhea and distention of the bowel. A person who does not have lactose intolerance can have difficulty absorbing lactose after an extraordinarily high intake of dairy products.
DOID:0050131	motility-related diarrhea	Motility-related diarrhea is a diarrhea which is caused by the rapid movement of food through the intestines (hypermotility). If the food moves too quickly through the GI tract, there is not enough time for sufficient nutrients and water to be absorbed.
DOID:0050132	inflammatory diarrhea	A gastrointestinal system infectious disease involving diarrhea that occurs when there is damage to the mucosal lining or brush border, which leads to a passive loss of protein-rich fluids, and a decreased ability to absorb these lost fluids. It can be caused by bacterial infections, viral infections, parasitic infections, or autoimmune problems such as inflammatory bowel diseases. It can also be caused by tuberculosis, colon cancer, and enteritis.
DOID:0050133	superficial mycosis	A fungal infectious disease that results_in infection of the outermost layer located_in skin or located_in hair shaft, has_material_basis_in Fungi. No living tissue is invaded and there is no cellular response from the host.
DOID:0050134	cutaneous mycosis	A fungal infectious disease that results_in infection of the keratinized layers located_in skin, located_in hair or located_in nail, which extends deeper into the epidermis, has_material_basis_in Fungi and results_in_formation_of skin lesions.
DOID:0050135	subcutaneous mycosis	A fungal infectious disease that results_in infection located_in skin or located_in subcutaneous tissue, has_material_basis_in Fungi, which penetrate the dermis or even deeper during or after a skin trauma.
DOID:0050136	systemic mycosis	A fungal infectious disease that results_in infection of internal organs and tissues located_in human body, has_material_basis_in Fungi, which enter the body via the respiratory tract, through the gut, paranasal sinuses or skin and spread through the bloodstream to multiple organs.
DOID:0050138	podoconiosis	
DOID:0050140	acute diarrhea	A diarrhea that is of rapid onset and course characterized by frequent loose or liquid bowel movements. Acute diarrhea is a common cause of death in developing countries and the second most common cause of infant deaths worldwide.
DOID:0050141	intestinal botulism	A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA, B, E and F) in adults, has_material_basis_in Clostridium botulinum A, has_material_basis_in Clostridium botulinum B, has_material_basis_in Clostridium botulinum E and has_material_basis_in Clostridium botulinum F, which are transmitted_by ingestion of bacterial spores, which then grow in the intestine and release toxins.
DOID:0050143	asymptomatic dengue	A dengue disease that results_in infection, has_material_basis_in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted_by Aedes mosquito bite. The infection has no manifestations of symptoms.
DOID:0050144	Kartagener syndrome	A primary ciliary dyskinesia that is characterized by sinusitis, bronchiectasis and situs inversus with dextrocardia resulting from dysfunction of the cilia during embryologic development.
DOID:0050145	adenoiditis	An upper respiratory tract disease which involves inflammation, pain, and swelling of the adenoid tissue due to the infection by bacteria and viruses. It occurs primarily in children and may be secondary to an allergy, infection of nose or throat and an obstruction of the eustachian tube. The infection has_symptom pain, has_symptom redness, has_symptom swelling, and has_symptom difficulty swallowing.
DOID:0050147	otomycosis	An otitis externa which is a disease of the ear produced by the growth of fungi in the external auditory canal. It is characterized by inflammation, pruritus, scaling and severe discomfort. The most common fungi are Aspergillus niger and Candida albicans.
DOID:0050148	laryngotracheitis	An upper respiratory tract disease involving inflammation of both larynx and trachea often caused by viral infection. The infection can close off the windpipe.
DOID:0050150	Pontiac fever	A legionellosis that involves a milder respiratory illness without pneumonia. Symptoms include fever, headache and muscle aches which last for 2 to 5 days.
DOID:0050152	aspiration pneumonia	A bacterial pneumonia which is an acute pulmonary inflammatory response that develops after the inhalation of colonized oropharyngeal material containing bacteria. It is seen in individuals with dysphagia and gastric dysmotility. The disease has_symptom tachypnea and has_symptom cough.
DOID:0050153	pulmonary aspergilloma	An aspergillosis that presents as a clump of tangled mass of Aspergillus fungus fibres, blood clots, and white blood cells, which exists in the cavities of the lungs that develop in an area of previous lung disease or lung scarring.
DOID:0050155	sensory system disease	A nervous system disease which is located in a part of the nervous system responsible for processing sensory information that consists of sensory receptors, neural pathways, and parts of the brain involved in sensory perception. Commonly recognized sensory systems are those for vision, hearing, somatic sensation (touch), taste and olfaction (smell).
DOID:0050156	idiopathic pulmonary fibrosis	An idiopathic interstitial pneumonia which is a distinctive type of chronic fibrosing interstitial pneumonia with thick scarring in the lung creating a honeycomb appearance. The main symptoms start insidiously as shortness of breath on exertion, cough, and diminished stamina. Other common complaints include weight loss and fatigue. The level of oxygen in the blood decreases, and the skin may take on a bluish tinge (called cyanosis) and the ends of the fingers may become thick or club-shape. In most people, symptoms worsen over a period ranging from about 6 months to several years.
DOID:0050157	cryptogenic organizing pneumonia	An idiopathic interstitial pneumonia characterized by lung inflammation and scarring that obstructs the small airways and air sacs of the lungs (alveoli). A flu-like illness, with a cough, fever, a feeling of illness (malaise), fatigue, and weight loss, heralds the onset in about 50% of people. Frequent presence of crackling sounds (called Velcro crackles) when the doctor listens with a stethoscope.
DOID:0050158	desquamative interstitial pneumonia	An idiopathic interstitial pneumonia that is characterized by the accumulation of bronchiolocentric alveolar macrophages in alveolar spaces and interstitial inflammation and involves mild bronchiolar fibrosis and chronic inflammation.
DOID:0050159	lymphoid interstitial pneumonia	An idiopathic interstitial pneumonia which involves diffuse interstitial infiltration of involved areas mostly with T lymphocytes, plasma cells, and macrophages. Lymphoid hyperplasia is frequently seen. Onset is often slow with gradually increasing cough and breathlessness over 3 or more years. Fever, weight loss, chest pain, and arthralgia are occasionally found. Crackles may be detected as the disease progresses.
DOID:0050160	inhalation anthrax	An anthrax disease that results_in infection located_in lung lymph nodes brought on by breathing in the spores of the bacteria Bacillus anthracis. The first symptoms of inhalation anthrax are like cold or flu symptoms and can include a sore throat, mild fever and muscle aches. Later symptoms include cough, chest discomfort, shortness of breath, tiredness and muscle aches.
DOID:0050161	lower respiratory tract disease	A respiratory system disease which involves the lower respiratory tract.
DOID:0050166	tuberculous salpingitis	An urogenital tuberculosis that results_in formation of granulomas located_in fallopian tube.
DOID:0050167	autoimmune polyendocrine syndrome type 1	An autoimmune polyendocrine syndrome that is inherited in an autosomal recessive fashion, which is characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs.
DOID:0050168	autoimmune polyendocrine syndrome type 2	An autoimmune polyendocrine syndrome that is characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs. It is more heterogeneous and has not been linked to one gene.
DOID:0050169	cutaneous lupus erythematosus	A lupus erythematosus that causes skin lesions on parts of the body that are exposed to sunlight.
DOID:0050174	Kunjin encephalitis	A West Nile encephalitis that results_in infection located_in brain, has_material_basis_in Kunjin virus, a subtype of West Nile Virus, which is transmitted_by Culex annulirostris mosquito bite. The infection has_symptom fever, has_symptom rigor, has_symptom headache, has_symptom confusion, and has_symptom lethargy.
DOID:0050175	tick-borne encephalitis	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in Tick-borne encephalitis virus, which is transmitted_by Ixodes ticks. The infection has_symptom drowsiness, has_symptom confusion, has_symptom sensory disturbances, and has_symptom paralysis.
DOID:0050177	monogenic disease	A genetic disease that is the result of one or more abnormal alleles and may be dominant (a single copy of the abnormal allele is sufficient to give rise to the disease), semi-dominant, or recessive (requiring both copies of the gene to have an abnormal allele).
DOID:0050179	Powassan encephalitis	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in Powassan virus, which is transmitted_by Ixodes and transmitted_by Dermacentor species of ticks. The infection has_symptom headache, has_symptom fever, has_symptom vomiting, has_symptom stiff neck, has_symptom sleepiness, has_symptom breathing distress, has_symptom tremors, has_symptom confusion, has_symptom seizures, has_symptom paralysis, and has_symptom coma.
DOID:0050185	erythema multiforme	A skin disease that is a type of allergic reaction located_in skin, which occurs in response to medications, infections, or illness.
DOID:0050194	Argentine hemorrhagic fever	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Junin virus, which is transmitted_by rodent, Calomys musculinus. The infection has_symptom fever, has_symptom fatigue, has_symptom malaise, has_symptom leukopenia, has_symptom thrombocytopenia, and has_symptom hemorrhagic manifestations.
DOID:0050195	Bolivian hemorrhagic fever	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Machupo virus, which is transmitted_by vesper mouse, Calomys callosus. The infection has_symptom fever, has_symptom headache, has_symptom fatigue, has_symptom myalgia, has_symptom arthralgia, has_symptom bleeding from the oral and nasal mucosa, and has_symptom bleeding from the bronchopulmonary, gastrointestinal and genitourinary tracts.
DOID:0050196	Venezuelan hemorrhagic fever	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Guanarito virus, which is transmitted_by cotton rat, Sigmodon alstoni and transmitted_by cane mouse, Zygodontomys brevicauda. The infection has_symptom fever, has_symptom headache, has_symptom myalgia, has_symptom sore throat, has_symptom weakness, has_symptom anorexia, has_symptom nausea, has_symptom vomiting, has_symptom convulsions, has_symptom epistaxis, has_symptom bleeding gums, has_symptom hematemesis, has_symptom melena, and has_symptom menorrhagia.
DOID:0050197	Brazilian hemorrhagic fever	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Sabia virus, which is transmitted_by rodents. The infection has_symptom fever, has_symptom eye redness, has_symptom fatigue, has_symptom dizziness, has_symptom muscle aches, has_symptom loss of strength, and has_symptom bleeding under the skin, internal organs, or from body orifices like the mouth, eyes or ears.
DOID:0050198	Chapare hemorrhagic fever	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Chapare virus. The infection has_symptom headache, has_symptom joint pain, has_symptom muscle pain, has_symptom vomiting, has_symptom shock, and has_symptom bleeding.
DOID:0050199	Whitewater Arroyo hemorrhagic fever	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Whitewater Arroyo virus, which is transmitted_by white-throated woodrats (Neotoma albigula). The infection has_symptom fever, has_symptom headache, has_symptom myalgia, and has_symptom hemorrhagic manifestations.
DOID:0050200	Korean hemorrhagic fever	A hemorrhagic fever with renal syndrome that results_in infection located_in kidney, has_material_basis_in Hantaan virus, which is transmitted_by the eurasian field mouse, Apodemus agrarius, or has_material_basis_in Seoul virus, which is transmitted_by norwegian rat, Rattus norvegicus. The infection has_symptom headache, has_symptom back pain, has_symptom abdominal pain, has_symptom fever, has_symptom chills, has_symptom nausea, has_symptom blurred vision, has_symptom flushing of the face, has_symptom redness of the eyes, has_symptom rash, has_symptom low blood pressure, has_symptom acute shock, has_symptom vascular leakage, and has_symptom acute kidney failure, which can cause severe fluid overload.
DOID:0050201	nephropathia epidemica	A hemorrhagic fever with renal syndrome that results_in infection located_in kidney, has_material_basis_in Puumala virus, which is transmitted_by bank vole, Myodes glareolus [NCBITaxon:447135]. The infection has_symptom headache, has_symptom nausea, has_symptom back pain, has_symptom vomiting, has_symptom myalgia, has_symptom abdominal pain, has_symptom internal hemorrhage, and has_symptom renal failure.
DOID:0050202	lujo hemorrhagic fever	A viral infectious disease that results_in infection, has_material_basis_in Lujo virus, which has_symptom bleeding.
DOID:0050204	Epstein-Barr virus hepatitis	A viral hepatitis that results_in inflammation, located_in liver, has_material_basis_in Human herpesvirus 4 and has_symptom headache, has_symptom fatigue, has_symptom fever, has_symptom abdominal pain, has_symptom nausea, and has_symptom jaundice.
DOID:0050211	swine influenza	An influenza that results_in infection located_in respiratory tract of pigs and humans, has_material_basis_in Influenza C virus, or has_material_basis_in Influenza A virus subtypes (H1N1, H1N2, H3N1, H3N2, and H2N3), which are transmitted_by direct contact with infected pigs. The infection in humans has_symptom fever, has_symptom lethargy, has_symptom lack of appetite, has_symptom coughing, has_symptom runny nose, has_symptom sore throat, has_symptom nausea, has_symptom vomiting, and has_symptom diarrhea.
DOID:0050214	Lambert-Eaton myasthenic syndrome	A neuromuscular junction disease that is characterized by an abnormality of acetylcholine (ACh) release at the neuromuscular junction which results from an autoimmune attack against voltage-gated calcium channels (VGCC) on the presynaptic motor nerve terminal.
DOID:0050218	polycystic echinococcosis	An echinococcosis that is caused by the larvae of Echinococcus vogeli or Echinococcus oligarthrus, which infect the liver.
DOID:0050222	selective IgM deficiency disease	A selective immunoglobulin deficiency disease thatis a dysgammaglobulinemia resulting from decreased levels of immunoglobulin M (IgM) production to roduction of other antibodies.
DOID:0050242	primary amebic meningoencephalitis	A parasitic protozoa infectious disease that involves infection of the central nervous system caused by Naegleria fowleri. The symptoms include headache, nausea, rigidity of the neck muscles, vomiting, delirium, seizures and coma.
DOID:0050246	granulomatous amebic encephalitis	A parasitic protozoa infectious disease that results in infection of the brain caused by Acanthamoeba or Balamuthia mandrillaris. The symptoms include headaches, altered mental status, and focal neurologic deficit, which progresses over several weeks to death.
DOID:0050250	philophthalmiasis	A parasitic helminthiasis infectious disease that involves parasitic infection of the eyes by Philophthalmus species. External ocular philophthalmiasis manifests as follicular conjunctivitis and superficial keratitis. Sub-conjunctival ocular philophthalmiasis consists of a mild edema with minimal cellular reaction.
DOID:0050251	coenurosis	A parasitic helminthiasis infectious disease that involves infection by metacestode larval stage (coenurus) of Taenia multiceps or Taenia serialis. Coenuri in the skin or subcutaneous tissue present as painless nodules, which manifest on the trunk, sclera, subconjuctiva, neck, shoulders, head and limbs. Coenuri in the central nervous system may cause headache, fever, vomiting, nerve palsies, jacksonian epilepsy, pachymeningitis, obstructive or communicating hydrocephalus, and intracranial arteritis with transient hemiparesis. Coenuri in the eye cause both intraocular and orbital infections.
DOID:0050253	mesocestoidiasis	A parasitic helminthiasis infectious disease that involves parasitic cestode infection caused by Mesocestoides lineatus resulting in nausea, diarrhea, abdominal discomfort and vomiting.
DOID:0050254	acanthocephaliasis	A parasitic helminthiasis infectious disease that involves infection of the intestine caused by thorny-headed worms Macracanthorhynchus or Moniliformis moniliformis. The infection has_symptom abdominal pain, has_symptom distension, has_symptom fever, has_symptom decreased appetite, has_symptom nausea, has_symptom vomiting, has_symptom weight loss, has_symptom diarrhea, and has_symptom constipation or has_symptom bloody stools.
DOID:0050256	angiostrongyliasis	A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine, central nervous system and eyes by Angiostrongylus cantonensis or Angiostrongylus costaricensis.
DOID:0050259	baylisascariasis	A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine caused by the larvae of Baylisascaris procyonis, which can invade the spinal cord, brain, and eye of humans, resulting in permanent neurologic damage, blindness, or death.
DOID:0050260	dioctophymiasis	A parasitic helminthiasis infectious disease that involves parasitic infection by the nematode Dioctophyme renale in humans after eating undercooked food. The larvae are found in the subcutaneous nodules and kidneys.
DOID:0050261	thelaziasis	A parasitic helminthiasis infectious diseasea that involves infection of the eyes in humans by nematode Thelazia callipaeda causing varying degrees of inflammation and lacrimation. In heavier infections, photophobia, edema, conjunctivitis, and blindness occurs.
DOID:0050266	tungiasis	A parasitic ectoparasitic infectious disease that is an inflammatory skin disease caused by the parasitic infestation of the female chigoe flea, Tunga penetrans in animals and humans. The symptoms include skin inflammation, severe pain, itching, and a lesion at the site of infection that is characterized by a black dot at the center of a swollen red lesion, surrounded a white halo.
DOID:0050268	ophthalmomyiasis	A myiasis that involves parasitic infestation of Oestrus ovis larvae in the eye causing severe irritation, edema, and pain.
DOID:0050278	basidiobolomycosis	A subcutaneous mycosis that involves a chronic inflammatory or granulomatous fungal infection of the subcutaneous tissue of the limbs, chest, back or buttocks caused by Basidiobolus ranarum. Lesions appear as subcutaneous nodules which develop into massive, firm, indurated, painless swellings which are freely movable over the underlying muscle, but are attached to the skin which may become hyperpigmented but not ulcerated.
DOID:0050279	conidiobolomycosis	An subcutaneous mycosis that is a chronic inflammatory or granulomatous fungal infection caused by Conidiobolus species, which is restricted to the nasal submucosa and characterized by polyps or palpable restricted subcutaneous masses. Symptoms include nasal obstruction, drainage and sinus pain. Subcutaneous nodules develop in the nasal and perinasal regions.
DOID:0050288	penicilliosis	An opportunistic mycosis that has_material_basis_in Penicillium marneffei, results_in systemic infection and has_symptom fever, has_symptom anemia, has_symptom weight loss, has_symptom lymphadenopathy, has_symptom hepatosplenomegaly, has_symptom respiratory signs, and has_symptom skin lesions.
DOID:0050289	fusariosis	An opportunistic mycosis that involves localized or hematogenously disseminated fungal infection by Fusarium solani or Fusarium oxysporum. Skin lesions are seen in neutropenic patients, and indolent cellulitis or soft-tissue necrosis occur in immunocompromised patients at the site of trauma.
DOID:0050290	trichosporonosis	An opportunistic mycosis that results_in disseminated infection, has_material_basis_in Trichosporon and results_in_formation_of nontender erythematous nodules anywhere on the body.
DOID:0050291	parasitic Ichthyosporea infectious disease	A parasitic infectious disease that involves parasitic infection by the members of the class Ichthyosporea, which are parasites of fish and other animals.
DOID:0050292	primary systemic mycosis	A systemic mycosis that results_in infection located_in human body, has_material_basis_in Fungi, which can overcome the physiological and cellular defences of the normal human host. The primary deep pathogens usually gain access to the host via the respiratory tract.
DOID:0050304	aniseikonia	
DOID:0050308	Alkhurma hemorrhagic fever	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Alkhurma hemorrhagic fever virus, which is transmitted_by Ornithodoros savignyi tick bite, transmitted_by ingestion of unpasteurized camel milk, or transmitted_by entry via skin wound. The infection has_symptom headache, has_symptom joint pain, has_symptom muscle pain, has_symptom vomiting, has_symptom thrombocytopenia, and has_symptom hemorrhagic fever.
DOID:0050328	congenital hypothyroidism	A hypothyroidism that is present at birth.
DOID:0050331	LADD syndrome	An autosomal dominant disease that is characterized by abnormalities affecting the lacrimal and salivary glands and ducts, ears, teeth and fingers and toes.
DOID:0050332	enlarged vestibular aqueduct	
DOID:0050335	bradyopsia	A retinal disease characterized by the slower than usual adaptation of the eyes to changing light conditions; can have material basis in mutations in the RGS9 or the R9AP genes.
DOID:0050336	hypophosphatemia	
DOID:0050338	primary bacterial infectious disease	A bacterial infectious disease that results_in infection by bacteria as a result of their presence or activity within the normal, healthy host, and their intrinsic virulence is, in part, a necessary consequence of their need to reproduce and spread.
DOID:0050339	commensal bacterial infectious disease	A bacterial infectious disease that results_in infection by bacteria which are part of the normal human flora when one or more of the defense mechanisms designed to restrict them from the usually sterile internal tissues are breached by accident, by intent (surgery), or by an underlying metabolic or an infectious disorder.
DOID:0050340	opportunistic bacterial infectious disease	A bacterial infectious disease that results_in infection by bacteria in individuals whose host defense mechanisms have been compromised.
DOID:0050352	foodborne botulism	A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA, B, E and F), which are transmitted_by ingestion of food contaminated with preformed toxins, has_material_basis_in Clostridium botulinum A, has_material_basis_in Clostridium botulinum B, has_material_basis_in Clostridium botulinum E and has_material_basis_in Clostridium botulinum F. The infection has_symptom blurred vision, has_symptom diplopia, has_symptom dysarthria, has_symptom dysphonia, has_symptom dysphagia and has_symptom descending muscle paralysis.
DOID:0050353	wound botulism	A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA, B, E and F), has_material_basis_in Clostridium botulinum A, has_material_basis_in Clostridium botulinum B, has_material_basis_in Clostridium botulinum E and has_material_basis_in Clostridium botulinum F, which are transmitted_by contact of spores with the open wounds, which then reproduce in an anaerobic environment to produce toxins.
DOID:0050354	infant botulism	A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants, has_material_basis_in Clostridium botulinum A or has_material_basis_in Clostridium botulinum B, which are transmitted_by ingestion of bacterial spores, which then grow in the intestine and release toxins. The infection has_symptom constipation, has_symptom lethargy, has_symptom difficulty feeding, has_symptom swallowing, has_symptom ptosis, has_symptom loss of head control, and has_symptom muscle weakness.
DOID:0050382	glandular tularemia	A tularemia that results_in swelling of regional lymph glands.
DOID:0050383	typhoidal tularemia	A tularemia that results_in bacteremia and has_symptom fever, has_symptom chills, has_symptom myalgia, has_symptom malaise, and has_symptom weight loss.
DOID:0050387	nonpapillary renal cell carcinoma	
DOID:0050398	Carrion's disease	A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells, has_material_basis_in Bartonella bacilliformis, which is transmitted_by sandflies of genus Lutzomyia. The infection has acute and chronic phases. The acute phase is characterized by severe hemolytic anemia and transient immunosuppression. The chronic phase is characterized by verruga peruana lesions which may ulcerate and bleed.
DOID:0050419	complement factor I deficiency	
