slim_id	slim_name	subsumed_id	subsumed_name	min_distance
DOID:0050439	Usher syndrome	DOID:0110826	Usher syndrome type 1	1
DOID:0050439	Usher syndrome	DOID:0110827	Usher syndrome type 2	1
DOID:0050439	Usher syndrome	DOID:0110828	Usher syndrome type 3	1
DOID:0050439	Usher syndrome	DOID:0110829	retinitis pigmentosa-deafness syndrome	1
DOID:0050439	Usher syndrome	DOID:0110830	Usher syndrome type 1C	2
DOID:0050439	Usher syndrome	DOID:0110831	Usher syndrome type 1D	2
DOID:0050439	Usher syndrome	DOID:0110832	Usher syndrome type 1F	2
DOID:0050439	Usher syndrome	DOID:0110833	Usher syndrome type 1E	2
DOID:0050439	Usher syndrome	DOID:0110834	Usher syndrome type 1G	2
DOID:0050439	Usher syndrome	DOID:0110835	Usher syndrome type 1H	2
DOID:0050439	Usher syndrome	DOID:0110836	Usher syndrome type 1J	2
DOID:0050439	Usher syndrome	DOID:0110837	Usher syndrome type 1K	2
DOID:0050439	Usher syndrome	DOID:0110838	Usher syndrome type 2A	2
DOID:0050439	Usher syndrome	DOID:0110839	Usher syndrome type 2C	2
DOID:0050439	Usher syndrome	DOID:0110840	Usher syndrome type 2D	2
DOID:0050439	Usher syndrome	DOID:0110841	Usher syndrome type 3A	2
DOID:0050439	Usher syndrome	DOID:0110842	Usher syndrome type 3B	2
DOID:0050448	hereditary mucosal leukokeratosis	DOID:0050448	hereditary mucosal leukokeratosis	0
DOID:0050453	lissencephaly	DOID:0050453	lissencephaly	0
DOID:0050453	lissencephaly	DOID:0060902	Norman-Roberts syndrome	1
DOID:0050454	periventricular nodular heterotopia	DOID:0050454	periventricular nodular heterotopia	0
DOID:0050466	Loeys-Dietz syndrome	DOID:0050466	Loeys-Dietz syndrome	0
DOID:0050468	yellow nail syndrome	DOID:0050468	yellow nail syndrome	0
DOID:0050471	Carney complex	DOID:0050471	Carney complex	0
DOID:0050475	Weill-Marchesani syndrome	DOID:0050475	Weill-Marchesani syndrome	0
DOID:0050476	Barth syndrome	DOID:0050476	Barth syndrome	0
DOID:0050489	multinodular goiter	DOID:0050489	multinodular goiter	0
DOID:0050534	congenital stationary night blindness	DOID:0050534	congenital stationary night blindness	0
DOID:0050534	congenital stationary night blindness	DOID:0110714	congenital stationary night blindness 1G	1
DOID:0050534	congenital stationary night blindness	DOID:0110715	congenital stationary night blindness autosomal dominant 3	1
DOID:0050534	congenital stationary night blindness	DOID:0110862	congenital stationary night blindness autosomal dominant 1	1
DOID:0050534	congenital stationary night blindness	DOID:0110863	congenital stationary night blindness autosomal dominant 2	1
DOID:0050534	congenital stationary night blindness	DOID:0110864	congenital stationary night blindness 1F	1
DOID:0050534	congenital stationary night blindness	DOID:0110865	congenital stationary night blindness 1B	1
DOID:0050534	congenital stationary night blindness	DOID:0110866	congenital stationary night blindness 1H	1
DOID:0050534	congenital stationary night blindness	DOID:0110867	congenital stationary night blindness 1C	1
DOID:0050534	congenital stationary night blindness	DOID:0110868	congenital stationary night blindness 1D	1
DOID:0050534	congenital stationary night blindness	DOID:0110869	congenital stationary night blindness 1E	1
DOID:0050534	congenital stationary night blindness	DOID:0110870	congenital stationary night blindness 1A	1
DOID:0050534	congenital stationary night blindness	DOID:0110871	congenital stationary night blindness 2A	1
DOID:0050535	exudative vitreoretinopathy	DOID:0050535	exudative vitreoretinopathy	0
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0050539	Charcot-Marie-Tooth disease type 2	0
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110154	Charcot-Marie-Tooth disease type 2A1	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110155	Charcot-Marie-Tooth disease type 2A2	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110156	Charcot-Marie-Tooth disease type 2B1	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110157	Charcot-Marie-Tooth disease type 2J	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110158	Charcot-Marie-Tooth disease type 2I	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110159	Charcot-Marie-Tooth disease type 2B	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110160	Charcot-Marie-Tooth disease axonal type 2T	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110161	Charcot-Marie-Tooth disease type 2R	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110162	Charcot-Marie-Tooth disease, axonal type 2W	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110163	Charcot-Marie-Tooth disease axonal type 2F	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110164	Charcot-Marie-Tooth disease type 2D	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110165	Charcot-Marie-Tooth disease type 2E	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110166	Charcot-Marie-Tooth disease axonal type 2H	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110167	Charcot-Marie-Tooth disease axonal type 2K	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110168	Charcot-Marie-Tooth disease type 2Y	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110169	Charcot-Marie-Tooth disease axonal type 2P	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110170	Charcot-Marie-Tooth disease axonal type 2Q	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110171	Charcot-Marie-Tooth disease axonal type 2S	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110173	Charcot-Marie-Tooth disease axonal type 2U	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110174	Charcot-Marie-Tooth disease axonal type 2L	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110175	Charcot-Marie-Tooth disease axonal type 20	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110176	Charcot-Marie-Tooth disease axonal type 2X	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110177	Charcot-Marie-Tooth disease axonal type 2N	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110178	Charcot-Marie-Tooth disease axonal type 2V	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110179	Charcot-Marie-Tooth disease type 2B2	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110180	Charcot-Marie-Tooth disease axonal type 2CC	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110181	Charcot-Marie-Tooth disease axonal type 2Z	1
DOID:0050539	Charcot-Marie-Tooth disease type 2	DOID:0110182	Charcot-Marie-Tooth disease axonal type 2C	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0050541	Charcot-Marie-Tooth disease type 4	0
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110183	Charcot-Marie-Tooth disease type 4C	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110184	Charcot-Marie-Tooth disease type 4J	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110185	Charcot-Marie-Tooth disease type 4A	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110186	Charcot-Marie-Tooth disease type 4D	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110187	Charcot-Marie-Tooth disease type 4K	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110190	Charcot-Marie-Tooth disease type 4B2	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110191	Charcot-Marie-Tooth disease type 4B1	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110192	Charcot-Marie-Tooth disease type 4H	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110193	Charcot-Marie-Tooth disease type 4F	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110194	Charcot-Marie-Tooth disease type 4B3	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110195	Charcot-Marie-Tooth disease type 4E	1
DOID:0050541	Charcot-Marie-Tooth disease type 4	DOID:0110196	Charcot-Marie-Tooth disease type 4G	1
DOID:0050542	Charcot-Marie-Tooth disease type X	DOID:0050542	Charcot-Marie-Tooth disease type X	0
DOID:0050542	Charcot-Marie-Tooth disease type X	DOID:0110207	Charcot-Marie-Tooth disease X-linked dominant 6	1
DOID:0050542	Charcot-Marie-Tooth disease type X	DOID:0110208	Charcot-Marie-Tooth disease X-linked recessive 2	1
DOID:0050542	Charcot-Marie-Tooth disease type X	DOID:0110209	Charcot-Marie-Tooth disease X-linked dominant 1	1
DOID:0050542	Charcot-Marie-Tooth disease type X	DOID:0110210	Charcot-Marie-Tooth disease X-linked recessive 5	1
DOID:0050542	Charcot-Marie-Tooth disease type X	DOID:0110211	Charcot-Marie-Tooth disease X-linked recessive 3	1
DOID:0050542	Charcot-Marie-Tooth disease type X	DOID:0110212	Charcot-Marie-Tooth disease X-linked recessive 4	1
DOID:0050544	hypermethioninemia	DOID:0050544	hypermethioninemia	0
DOID:0050544	hypermethioninemia	DOID:0111037	glycine N-methyltransferase deficiency	1
DOID:0050544	hypermethioninemia	DOID:0111038	hypermethioninemia due to adenosine kinase deficiency	1
DOID:0050544	hypermethioninemia	DOID:0111039	hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	1
DOID:0050545	visceral heterotaxy	DOID:0050545	visceral heterotaxy	0
DOID:0050545	visceral heterotaxy	DOID:0060856	right atrial isomerism	1
DOID:0050545	visceral heterotaxy	DOID:758	situs inversus	1
DOID:0050557	congenital muscular dystrophy	DOID:0050557	congenital muscular dystrophy	0
DOID:0050557	congenital muscular dystrophy	DOID:0050558	Ullrich congenital muscular dystrophy	1
DOID:0050557	congenital muscular dystrophy	DOID:0050559	Fukuyama congenital muscular dystrophy	1
DOID:0050557	congenital muscular dystrophy	DOID:0050560	Walker-Warburg syndrome	1
DOID:0050557	congenital muscular dystrophy	DOID:0050588	muscular dystrophy-dystroglycanopathy	1
DOID:0050557	congenital muscular dystrophy	DOID:0050663	Bethlem myopathy	1
DOID:0050557	congenital muscular dystrophy	DOID:0080197	congenital muscular dystrophy with cataracts and intellectual disability	1
DOID:0050557	congenital muscular dystrophy	DOID:0110631	arthrogryposis due to muscular dystrophy	1
DOID:0050557	congenital muscular dystrophy	DOID:0110632	megaconial type congenital muscular dystrophy	1
DOID:0050557	congenital muscular dystrophy	DOID:0110633	rigid spine muscular dystrophy 1	1
DOID:0050557	congenital muscular dystrophy	DOID:0110634	congenital muscular dystrophy 1B	1
DOID:0050557	congenital muscular dystrophy	DOID:0110635	muscular dystrophy-dystroglycanopathy type B5	1
DOID:0050557	congenital muscular dystrophy	DOID:0110636	congenital merosin-deficient muscular dystrophy 1A	1
DOID:0050557	congenital muscular dystrophy	DOID:0110637	muscular dystrophy-dystroglycanopathy type B6	1
DOID:0050557	congenital muscular dystrophy	DOID:0110638	congenital muscular dystrophy merosin-positive	1
DOID:0050557	congenital muscular dystrophy	DOID:0110639	congenital muscular dystrophy due to integrin alpha-7 deficiency	1
DOID:0050557	congenital muscular dystrophy	DOID:0110640	congenital muscular dystrophy due to LMNA mutation	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0050564	autosomal dominant nonsyndromic deafness	0
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0060690	autosomal dominant auditory neuropathy 1	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110541	autosomal dominant nonsyndromic deafness 1	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110542	autosomal dominant nonsyndromic deafness 10	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110543	autosomal dominant nonsyndromic deafness 11	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110544	autosomal dominant nonsyndromic deafness 12	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110545	autosomal dominant nonsyndromic deafness 13	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110546	autosomal dominant nonsyndromic deafness 15	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110547	autosomal dominant nonsyndromic deafness 16	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110548	autosomal dominant nonsyndromic deafness 17	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110549	autosomal dominant nonsyndromic deafness 18	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110550	autosomal dominant nonsyndromic deafness 20	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110551	autosomal dominant nonsyndromic deafness 21	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110552	autosomal dominant nonsyndromic deafness 22	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110553	autosomal dominant nonsyndromic deafness 23	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110554	autosomal dominant nonsyndromic deafness 24	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110555	autosomal dominant nonsyndromic deafness 25	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110556	autosomal dominant nonsyndromic deafness 27	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110557	autosomal dominant nonsyndromic deafness 28	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110558	autosomal dominant nonsyndromic deafness 2A	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110559	autosomal dominant nonsyndromic deafness 2B	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110560	autosomal dominant nonsyndromic deafness 30	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110561	autosomal dominant nonsyndromic deafness 31	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110562	autosomal dominant nonsyndromic deafness 33	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110563	autosomal dominant nonsyndromic deafness 36	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110564	autosomal dominant nonsyndromic deafness 3A	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110565	autosomal dominant nonsyndromic deafness 3B	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110566	autosomal dominant nonsyndromic deafness 40	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110567	autosomal dominant nonsyndromic deafness 41	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110568	autosomal dominant nonsyndromic deafness 43	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110569	autosomal dominant nonsyndromic deafness 44	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110570	autosomal dominant nonsyndromic deafness 47	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110571	autosomal dominant nonsyndromic deafness 48	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110572	autosomal dominant nonsyndromic deafness 49	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110573	autosomal dominant nonsyndromic deafness 4A	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110574	autosomal dominant nonsyndromic deafness 4B	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110575	autosomal dominant nonsyndromic deafness 5	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110576	autosomal dominant nonsyndromic deafness 50	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110577	autosomal dominant nonsyndromic deafness 51	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110578	autosomal dominant nonsyndromic deafness 52	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110579	autosomal dominant nonsyndromic deafness 53	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110580	autosomal dominant nonsyndromic deafness 54	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110581	autosomal dominant nonsyndromic deafness 56	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110582	autosomal dominant nonsyndromic deafness 58	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110583	autosomal dominant nonsyndromic deafness 59	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110584	autosomal dominant nonsyndromic deafness 6	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110585	autosomal dominant nonsyndromic deafness 64	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110586	autosomal dominant nonsyndromic deafness 65	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110587	autosomal dominant nonsyndromic deafness 66	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110588	autosomal dominant nonsyndromic deafness 67	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110589	autosomal dominant nonsyndromic deafness 68	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110590	autosomal dominant nonsyndromic deafness 69	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110591	autosomal dominant nonsyndromic deafness 7	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110592	autosomal dominant nonsyndromic deafness 70	1
DOID:0050564	autosomal dominant nonsyndromic deafness	DOID:0110593	autosomal dominant nonsyndromic deafness 9	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0050565	autosomal recessive nonsyndromic deafness	0
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110462	autosomal recessive nonsyndromic deafness 101	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110463	autosomal recessive nonsyndromic deafness 102	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110464	autosomal recessive nonsyndromic deafness 103	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110465	autosomal recessive nonsyndromic deafness 104	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110466	autosomal recessive nonsyndromic deafness 105	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110467	autosomal recessive nonsyndromic deafness 12	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110468	autosomal recessive nonsyndromic deafness 13	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110469	autosomal recessive nonsyndromic deafness 14	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110470	autosomal recessive nonsyndromic deafness 15	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110471	autosomal recessive nonsyndromic deafness 16	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110472	autosomal recessive nonsyndromic deafness 17	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110473	autosomal recessive nonsyndromic deafness 18A	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110474	autosomal recessive nonsyndromic deafness 18B	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110475	autosomal recessive nonsyndromic deafness 1A	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110476	autosomal recessive nonsyndromic deafness 1B	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110477	autosomal recessive nonsyndromic deafness 2	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110478	autosomal recessive nonsyndromic deafness 20	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110479	autosomal recessive nonsyndromic deafness 21	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110480	autosomal recessive nonsyndromic deafness 22	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110481	autosomal recessive nonsyndromic deafness 23	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110482	autosomal recessive nonsyndromic deafness 24	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110483	autosomal recessive nonsyndromic deafness 25	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110484	autosomal recessive nonsyndromic deafness 26	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110485	autosomal recessive nonsyndromic deafness 27	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110486	autosomal recessive nonsyndromic deafness 28	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110487	autosomal recessive nonsyndromic deafness 29	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110488	autosomal recessive nonsyndromic deafness 3	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110489	autosomal recessive nonsyndromic deafness 30	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110490	autosomal recessive nonsyndromic deafness 31	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110491	autosomal recessive nonsyndromic deafness 32	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110492	autosomal recessive nonsyndromic deafness 33	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110493	autosomal recessive nonsyndromic deafness 35	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110494	autosomal recessive nonsyndromic deafness 36	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110495	autosomal recessive nonsyndromic deafness 37	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110496	autosomal recessive nonsyndromic deafness 38	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110497	autosomal recessive nonsyndromic deafness 39	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110498	autosomal recessive nonsyndromic deafness 4	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110499	autosomal recessive nonsyndromic deafness 40	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110500	autosomal recessive nonsyndromic deafness 42	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110501	autosomal recessive nonsyndromic deafness 44	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110502	autosomal recessive nonsyndromic deafness 45	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110503	autosomal recessive nonsyndromic deafness 46	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110504	autosomal recessive nonsyndromic deafness 47	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110505	autosomal recessive nonsyndromic deafness 48	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110506	autosomal recessive nonsyndromic deafness 49	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110507	autosomal recessive nonsyndromic deafness 5	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110508	autosomal recessive nonsyndromic deafness 51	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110509	autosomal recessive nonsyndromic deafness 53	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110510	autosomal recessive nonsyndromic deafness 55	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110511	autosomal recessive nonsyndromic deafness 59	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110512	autosomal recessive nonsyndromic deafness 6	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110513	autosomal recessive nonsyndromic deafness 61	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110514	autosomal recessive nonsyndromic deafness 62	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110515	autosomal recessive nonsyndromic deafness 63	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110516	autosomal recessive nonsyndromic deafness 65	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110517	autosomal recessive nonsyndromic deafness 66	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110518	autosomal recessive nonsyndromic deafness 67	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110519	autosomal recessive nonsyndromic deafness 68	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110520	autosomal recessive nonsyndromic deafness 7	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110521	autosomal recessive nonsyndromic deafness 70	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110522	autosomal recessive nonsyndromic deafness 71	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110523	autosomal recessive nonsyndromic deafness 74	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110524	autosomal recessive nonsyndromic deafness 76	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110525	autosomal recessive nonsyndromic deafness 77	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110526	autosomal recessive nonsyndromic deafness 79	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110527	autosomal recessive nonsyndromic deafness 8	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110528	autosomal recessive nonsyndromic deafness 83	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110529	autosomal recessive nonsyndromic deafness 84A	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110530	autosomal recessive nonsyndromic deafness 84B	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110531	autosomal recessive nonsyndromic deafness 85	1
DOID:0050565	autosomal recessive nonsyndromic deafness	DOID:0110532	autosomal recessive nonsyndromic deafness 86	1
